idFilm;Year;Title;Subject;Actor;Actress;Director;Popularity;Awards;Image;Length
1437;1982;An Evening with Robin Williams;Comedy;Williams, Robin;;Mischer, Don;68;No;NicholasCage.png;92
1438;1987;Eddie Murphy Raw;Comedy;Murphy, Eddie;;Murphy, Eddie;51;No;NicholasCage.png;90
1439;1989;Harlem Nights;Comedy;Murphy, Eddie;;Murphy, Eddie;11;No;NicholasCage.png;118
1440;1973;Santee;Western;Ford, Glenn;;Nelson, Gary;47;No;glennFord.png;93
1441;1987;Good Father, The;Drama;Hopkins, Anthony;;Newell, Mike;42;No;AnthonyHopkins.png;90
1442;1971;Sometimes a Great Notion;Drama;Newman, Paul;;Newman, Paul;7;No;paulNewman.png;115
1443;1970;Catch Twenty-Two;Comedy;Arkin, Alan;;Nichols, Mike;50;No;NicholasCage.png;117
1444;1988;Dark Age;Action;Jarratt, John;;Nicholson, Arch;3;No;NicholasCage.png;90
1445;1981;Deadline;Mystery;Newman, Barry;;Nicholson, Arch;9;No;paulNewman.png;94
1446;1935;Mysterious Mr. Wong;Mystery;Lugosi, Bela;;Nigh, William;71;No;NicholasCage.png;60
1447;1988;A Month in the Country;Drama;Firth, Colin;;O'Connor, Pat;57;No;NicholasCage.png;92
1448;1990;Prom Night III, The Last Kiss;Horror;Conlon, Tim;;Oliver, Ron;29;No;NicholasCage.png;97
1449;1990;Blood in, Blood Out;Drama;Penn, Sean;;Olmos, Edward James;88;No;NicholasCage.png;
1450;1989;Wrong Arm of the Law, The;Comedy;Sellers, Peter;;Owen, Cliff;25;No;NicholasCage.png;94
1451;1987;Orphans;Drama;Finney, Albert;;Pakula, Alan J.;21;No;NicholasCage.png;116
1452;1976;All the President's Men;Drama;Redford, Robert;;Pakula, Alan J.;45;Yes;NicholasCage.png;139
1453;1987;J-Men Forever;Action;Bergman, Peter;;Patterson, Richard;59;No;NicholasCage.png;73
1454;1969;Wild Bunch, The;Western;Holden, William;;Peckinpah, Sam;50;No;NicholasCage.png;144
1455;1988;Judgement in Berlin;Drama;Sheen, Martin;;Penn, Leo;13;No;NicholasCage.png;92
1456;1993;Hot Line, The;Comedy;Boyer, Charles;;Perier, Etienne;70;No;NicholasCage.png;
1457;1988;Rocket Gibraltar;Drama;Lancaster, Burt;;Petrie, Daniel;26;No;burtLancaster.png;100
1458;1975;Yakuza, The;Action;Mitchum, Robert;;Pollack, Sydney;16;No;NicholasCage.png;112
1459;1972;Jeremiah Johnson;Drama;Redford, Robert;;Pollack, Sydney;88;No;NicholasCage.png;116
1460;1970;Burn!;Drama;Brando, Marlon;;Pontecorvo, Gillo;75;No;brando.png;112
1461;1973;Magnum Force;Action;Eastwood, Clint;;Post, Ted;28;No;clintEastwood.png;122
1462;1989;Cyborg;Action;Van Damme, Jean-Claude;;Pyun, Albert;31;No;NicholasCage.png;86
1463;1979;Prisoner of Zenda, The;Comedy;Sellers, Peter;;Quine, Richard;12;No;NicholasCage.png;108
1464;1983;Scream;Horror;Martin, Pepper;;Quisenberry, Byron;24;No;NicholasCage.png;86
1465;1986;Assault, The;Drama;Lint, Derek De;;Rademakers, Fons;71;Yes;NicholasCage.png;140
1466;1951;Flying Leathernecks;Action;Wayne, John;;Ray, Nicholas;23;No;johnWayne.png;102
1467;1985;What Comes Around;Drama;Reed, Jerry;;Reed, Jerry;49;No;NicholasCage.png;92
1468;1980;Mon Oncle D'Amerique;Comedy;Roger-Pierre;;Resnais, Alain;71;No;NicholasCage.png;123
1469;1972;Culpepper Cattle Company, The;Western;Grimes, Gary;;Richards, Dick;29;No;NicholasCage.png;92
1470;1983;Survivors, The;Comedy;Matthau, Walter;;Ritchie, Michael;52;No;NicholasCage.png;102
1471;1984;Roadhouse Sixty-Six;Action;Dafoe, Willem;;Robinson, John Mark;20;No;NicholasCage.png;96
1472;1991;Burning Poles, Cecil Taylor in Performance;Music;Taylor, Cecil;;Rochlin, Sheldon;82;No;NicholasCage.png;60
1473;1987;Russkies;Action;Hubley, Whip;;Rosenthal, Rick;87;No;NicholasCage.png;98
1474;1990;My Blue Heaven;Comedy;Martin, Steve;;Ross, Herbert;63;No;NicholasCage.png;96
1475;1990;Altered States;Science Fiction;Hurt, William;;Russell, Ken;22;No;NicholasCage.png;103
1476;1972;Cowboys, The;Western;Wayne, John;;Rydell, Mark;58;No;johnWayne.png;128
1477;1985;Code Name, Emerald;Drama;Harris, Ed;;Sanger, Jonathan;22;No;NicholasCage.png;95
1478;1970;Patton;War;Scott, George C.;;Schaffner, Franklin J.;8;Yes;NicholasCage.png;170
1479;1969;Midnight Cowboy;Drama;Hoffman, Dustin;;Schlesinger, John;33;Yes;NicholasCage.png;123
1480;1985;Falcon & the Snowman, The;Drama;Hutton, Timothy;;Schlesinger, John;61;No;NicholasCage.png;131
1481;1976;Maitresse;Drama;Ogier, Bulle;;Schroeder, Barbet;39;No;NicholasCage.png;112
1482;1987;Disorderlies;Comedy;Boys, The Fat;;Schultz, Michael;69;No;NicholasCage.png;86
1483;1991;Raging Bull;Drama;De Niro, Robert;;Scorsese, Martin;25;No;NicholasCage.png;
1484;1991;Garrison Keillor's Home;Comedy;Keillor, Garrison;;Sevush, Herb;6;No;NicholasCage.png;60
1485;1938;Overland Stage Raiders;Western;Wayne, John;;Sherman, George;83;No;johnWayne.png;55
1486;1938;Pals of the Saddle;Western;Wayne, John;;Sherman, George;33;No;johnWayne.png;55
1487;1982;Alone in the Dark;Horror;Schultz, Dwight;;Sholder, Jack;75;No;NicholasCage.png;92
1488;1971;Beguiled, The;Drama;Eastwood, Clint;;Siegel, Don;60;No;clintEastwood.png;109
1489;1979;Escape from Alcatraz;Drama;Eastwood, Clint;;Siegel, Don;22;No;clintEastwood.png;112
1490;1948;Criss Cross;Drama;Lancaster, Burt;;Siodmak, Robert;77;No;burtLancaster.png;88
1491;1976;Midway;War;Heston, Charlton;;Smight, Jack;36;No;NicholasCage.png;132
1492;1990;Indiana Jones & the Last Crusade;Action;Ford, Harrison;;Spielberg, Steven;8;No;NicholasCage.png;126
1493;1993;Duel;Mystery;Weaver, Dennis;;Spielberg, Steven;48;No;NicholasCage.png;90
1494;1991;Separate but Equal;Drama;Poitier, Sidney;;Stevens, George, Jr.;56;No;NicholasCage.png;193
1495;1924;Gosta Berling's Saga;Drama;Hanson, Lars;;Stiller, Mauritz;63;No;NicholasCage.png;123
1496;1986;Platoon;Drama;Sheen, Charlie;;Stone, Oliver;8;Yes;NicholasCage.png;120
1497;1963;Crawling Hand, The;Science Fiction;Breck, Peter;;Strock, Herbert L.;79;No;NicholasCage.png;89
1498;1971;Willy Wonka & the Chocolate Factory;Music;Wilder, Gene;;Stuart, Mel;65;No;NicholasCage.png;100
1499;1971;Joe Kidd;Western;Eastwood, Clint;;Sturges, John;79;No;clintEastwood.png;88
1500;1985;Santa Claus, The Movie;Comedy;Moore, Dudley;;Szwarc, Jeannot;19;No;NicholasCage.png;104
1501;1938;Boys Town;Drama;Tracy, Spencer;;Taurog, Norman;21;Yes;spencerTracy.png;96
1502;1990;Erasure, Live Wild!;Music;;;Taylor, Gavin;48;No;NicholasCage.png;59
1503;1982;A Question of Honor;Drama;Gazzara, Ben;;Taylor, Jud;80;No;NicholasCage.png;150
1504;1947;Check Your Guns;Western;Dean, Eddie;;Taylor, Ray;80;No;NicholasCage.png;61
1505;1947;West to Glory;Western;Dean, Eddie;;Taylor, Ray;43;No;NicholasCage.png;56
1506;1937;Throwback, The;Western;Jones, Buck;;Taylor, Ray;53;No;NicholasCage.png;60
1507;1992;Border Feud;Action;LaRue, Lash;;Taylor, Ray;43;No;NicholasCage.png;54
1508;1947;Fighting Vigilantes, The;Western;LaRue, Lash;;Taylor, Ray;21;No;NicholasCage.png;58
1509;1947;Law of the Lash;Western;LaRue, Lash;;Taylor, Ray;66;No;NicholasCage.png;53
1510;1949;Outlaw Country;Western;LaRue, Lash;;Taylor, Ray;62;No;NicholasCage.png;66
1511;1992;Return of the Lash;Action;LaRue, Lash;;Taylor, Ray;78;No;NicholasCage.png;53
1512;1937;Mystery of the Hooded Horsemen;Western;Ritter, Tex;;Taylor, Ray;52;No;NicholasCage.png;60
1513;1937;Tex Rides with the Boy Scouts;Western;Ritter, Tex;;Taylor, Ray;17;No;NicholasCage.png;60
1514;1949;Shadows of the West;Western;Wilson, Whip;;Taylor, Ray;40;No;NicholasCage.png;59
1515;1991;Instant Karma;Comedy;Cassidy, David;;Taylor, Roderick;47;No;NicholasCage.png;102
1516;1957;Time Lock;Drama;Connery, Sean;;Thomas, Gerald;5;No;seanConnery.png;73
1517;1953;Appointment in Honduras;Drama;Ford, Glenn;;Tourneur, Jacques;7;No;glennFord.png;79
1518;1982;Danton;Drama;Depardieu, G�rard;;Wajda, Andrzej;5;No;NicholasCage.png;136
1519;1960;Alamo, The;Action;Wayne, John;;Wayne, John;29;No;johnWayne.png;164
1520;1986;La Chevre, (The Goat);Drama;Depardieu, G�rard;;Veber, Francis;24;No;NicholasCage.png;91
1521;1985;Les Comperes;Comedy;Richard, Pierre;;Veber, Francis;54;No;NicholasCage.png;109
1522;1990;Dead Poets Society;Drama;Williams, Robin;;Weir, Peter;8;Yes;NicholasCage.png;128
1523;1952;Othello, The Lost Masterpiece;Drama;Welles, Orson;;Welles, Orson;23;No;NicholasCage.png;93
1524;1949;Battleground, The;War;Johnson, Van;;Wellman, William;7;No;NicholasCage.png;119
1525;1976;Kings of the Road (In the Course of Time);Drama;Vogler, Rudiger;;Wenders, Wim;41;No;NicholasCage.png;176
1526;1990;Hiroshima;Drama;Nelson, Judd;;Werner, Peter;17;No;NicholasCage.png;98
1527;1982;Return of Martin Guerre, The;Drama;Depardieu, G�rard;;Vigne, Daniel;51;No;NicholasCage.png;111
1528;1956;Somebody up There Likes Me;Drama;Newman, Paul;;Wise, Robert;56;No;paulNewman.png;97
1529;1955;Jack Benny Show;Comedy;Benny, Jack;;;51;No;NicholasCage.png;57
1530;1962;Mutiny on the Bounty;Action;Brando, Marlon;;;35;No;brando.png;182
1531;1989;Death Valley Days, Deadly Decision;Western;Caan, James;;;9;No;NicholasCage.png;
1532;1986;Monty Python's Flying Circus;Comedy;Chapman, Graham;;;4;No;NicholasCage.png;60
1533;1986;Monty Python's Flying Circus, Vol 1.;Comedy;Chapman, Graham;;;24;No;NicholasCage.png;60
1534;1986;Monty Python's Flying Circus, Vol 2.;Comedy;Chapman, Graham;;;79;No;NicholasCage.png;59
1535;1986;Monty Python's Flying Circus, Vol 3.;Comedy;Chapman, Graham;;;63;No;NicholasCage.png;58
1536;1990;Valkenvania;Comedy;Chase, Chevy;;;82;No;NicholasCage.png;
1537;1982;Secret Policeman's Other Ball, The;Comedy;Cleese, John;;;86;No;NicholasCage.png;101
1538;1981;Taming of the Shrew, The;Drama;Cleese, John;;;2;No;NicholasCage.png;127
1539;1964;From Russia with Love;Action;Connery, Sean;;;6;No;seanConnery.png;
1540;1993;Offence, The;Mystery;Connery, Sean;;;6;No;seanConnery.png;108
1541;1992;Hollywood Mavericks;Comedy;Coppola, Francis Ford;;;22;No;NicholasCage.png;60
1542;1990;Live at Harrah's;Comedy;Cosby, Bill;;;6;No;NicholasCage.png;60
1543;1992;Persuaders, The Overture, The;Mystery;Curtis, Tony;;;40;No;NicholasCage.png;52
1544;1977;Nineteen Hundred;Drama;De Niro, Robert;;;82;No;NicholasCage.png;255
1545;1989;Van, The;Comedy;DeVito, Danny;;;5;No;NicholasCage.png;90
1546;1972;My Country Right or Wrong;War;Douglas, Michael;;;21;No;NicholasCage.png;15
1547;1991;Clint Eastwood Collection, The;Westerns;Eastwood, Clint;;;11;No;clintEastwood.png;
1548;1991;Complete Dirty Harry, Magnum Force, The;Action;Eastwood, Clint;;;53;No;clintEastwood.png;
1549;1992;Dead Pool, The;Action;Eastwood, Clint;;;26;No;clintEastwood.png;92
1550;1992;Good, the Bad & the Ugly, The;Westerns;Eastwood, Clint;;;68;No;clintEastwood.png;163
1551;1959;Rawhide, Premiere Episode;Western;Eastwood, Clint;;;54;No;clintEastwood.png;60
1552;1992;Tightrope;Mystery;Eastwood, Clint;;;55;No;clintEastwood.png;118
1553;1987;Hearts of Fire;Drama;Everett, Rupert;;;25;No;NicholasCage.png;95
